part_number,price,availability,Brand,Description,qty,category
6GK7443-1EX11-0XE0,,In Stock,siemens, CP 443-1 ,1,plc
6GK7443-1EX20-0XE0,,In Stock,siemens,CP 443-1,1,plc
6GK7343-1EX11-0XE0,,In Stock,siemens,,1,plc
6ES7441-2AA04-0AE0,,In Stock,siemens,,1,plc
317-2AJ10-0AB0,,In Stock,siemens,,1,plc
315-2AH14-0AB0,,In Stock,siemens,,1,plc
315-2AG10-0AB0,,In Stock,siemens,,1,plc
315-2AF03-0AB0,,In Stock,siemens,,1,plc
315-1AF03-0AB0,,In Stock,siemens,,1,plc
314-5AE10-0AB0,,In Stock,siemens,,1,plc
313-1AD03-0AB0,,In Stock,siemens,,1,plc
313-6CF03-0AB0,,In Stock,siemens,,1,plc
312-5BD01-0AB0,,In Stock,siemens,,1,plc
6ES5095-8MA03 ,,In Stock,siemens,,1,plc
6ES5095-8MA05,,In Stock,siemens,,1,plc
6ES5095-8MC01,,In Stock,siemens,,1,plc
6ES7510-1DJ01-0AB0,,In Stock,siemens,,1,plc
412-5HK06-0AB0,,In Stock,siemens,,1,plc
416-2XK04-0AB0,,In Stock,siemens,,1,plc
357-4AH01-0AE0,,In Stock,siemens,MULTI-AXIS MODULE,1,plc
6ES7350-1AH03-0AE0,32000,In Stock,siemens,FM350-1 Counter Module ,1,plc
6AV2124-2DC01-0AX0,,In Stock,siemens,KTP400,1,HMI
6AV2124-0GC01-0AX0,40000,In Stock,siemens,TP700 COMFORT/,1,HMI
"6AV2123-2GB03-0AX0
",20000,In Stock,siemens,KTP700 ,1,HMI
6AV6647-0AD11-3AX0,20000,In Stock,siemens,KTP600 Basic Color PN ,1,HMI
6AV3607-1JC20-0AX1,,In Stock,siemens,,1,HMI
6AV6641-0CA01-0AX0,35000,In Stock,siemens,OP77B ,1,HMI
151-1CA00-0AB0,,In Stock,siemens,,1,plc
151-1AA04-0AB0,,In Stock,siemens,,1,plc
153-1AA03-0XB0,,In Stock,siemens,INTERFACE MODULE,1,plc
360-3AA01-0AA0,,In Stock,siemens,INTERFACE MODULE,1,plc
361-3CA01-0AA0,,In Stock,siemens,INTERFACE MODULE,1,plc
952-1AK00-0AA0,,In Stock,siemens,Memory Card for S7-400 1Mbyte,1,MC
951-0KF00-0AA0,,In Stock,siemens,Memory Card for S7-300 64Kbyte,1,MC
953-8LF30-0AA0,,In Stock,siemens,Memory Card for S7-300 64 KBYTES,1,MC
953-8LG11-0AA0,,In Stock,siemens,Memory Card for S7-300 128 KBYTES,1,MC
953-8LJ11-0AA0,,In Stock,siemens,Memory Card for S7-300 512 KBYTES,1,MC
412-5HK06-0AB0,,In Stock,siemens,,1,Power Supply
407-0KR02-0AA0,,In Stock,siemens,,1,Power Supply
405-0KA02-0AA0,,In Stock,siemens,,1,Power Supply
